Health Score,بند واجهة
Health Status,بند واجهة
Healthcare,الرعاية الصحية
Help,مساعدة
Hierarchy,بند واجهة
High,مرتفع
Home,الرئيسية
Hospitality Audit Event,بند واجهة
Hospitality Command Center,بند واجهة
Hotel,بند واجهة
Hotel Asset Admin,بند واجهة
Hotel Asset Depreciation,بند واجهة
Hotel Asset Inspection,بند واجهة
Hotel Asset Management,بند واجهة
Hotel Asset Operations,بند واجهة
Hotel Asset Register,سجل بند واجهة
Hotel Asset Transfer,بند واجهة
Hotel asset warranty expires on {0} ({1}),بند واجهة
Hotel Assets & Inspections,بند واجهة و بند واجهة
Hotel Assets by Floor,بند واجهة
Hotel Assets Dashboard,لوحة بند واجهة
Hotel Floor Plan,بند واجهة
Hotel Functional Area,بند واجهة
Hotel IAS 16 Disclosure Schedule,بند واجهة
Hotel Inspection Summary,ملخص بند واجهة
Hotel Movement History,بند واجهة
Hotel NBV by Property,بند واجهة
Hotel Operational Asset Status,بند واجهة
Hotel Property,بند واجهة
Hotel Property does not exist.,بند واجهة
Hotel Property must belong to the same company.,يجب أن بند واجهة ينتمي إلى نفس الشركة.
Hotel Property must use the same branch.,يجب أن بند واجهة الاستخدام نفس الفرع.
Hotel Room,بند واجهة
Hotel Structure,بند واجهة
Hotel vertical,بند واجهة
Hotel Zone,بند واجهة
Hotel-linked assets,بند واجهة
Hotel-linked assets by property,بند واجهة
Housekeeping,بند واجهة
Housekeeping Attention,بند واجهة
Housekeeping Status,بند واجهة
Housekeeping Supervisor,بند واجهة
HR,الموارد البشرية
IAS 16,بند واجهة
IAS 16 / IFRS,بند واجهة / IFRS
IAS 16 Disclosure Schedule,بند واجهة
"IAS 16.30–31 — After recognition, measure at cost or revalued amount. Revaluation ledger is not automated in this version.",بند واجهة — بند واجهة
IAS 16.43 — Choose a systematic basis when the asset is ready for use; None until policy is applied.,بند واجهة — بند واجهة
IAS 16.43–59 — Systematic allocation of depreciable amount over useful life.,بند واجهة — بند واجهة
IAS 16.53 — Cost less residual value (cost model).,بند واجهة — بند واجهة
IAS 16.56 — Total expected production units for units-of-production method.,بند واجهة — بند واجهة
"IAS 16.6 — Estimated amount currently obtainable from disposal less costs, if asset were already of age and condition at end of useful life.",بند واجهة — بند واجهة
IAS 16.6 — Under cost model: cost less accumulated depreciation and impairment (impairment not automated here).,بند واجهة — بند واجهة
IAS 16.72 — Consideration received.,بند واجهة — بند واجهة
Identification,بند واجهة
Identification (no inventory link),بند واجهة
"If set, only this branch is processed; otherwise all company branches.",بند واجهة
IFRS,IFRS
IFRS & cost,IFRS و التكلفة
IFRS 16 Liability,التزام الإيجار IFRS 16
Image,صورة
Image Count,بند واجهة
Impact,بند واجهة
Impact Score,بند واجهة
impinj,بند واجهة
In Progress,قيد التنفيذ
In Use,قيد الاستخدام
in_progress,بند واجهة
in_use,في الاستخدام
Incident Date,بند واجهة
Incomplete wizard data.,بند واجهة
Industry Solutions,حلول القطاعات
Initial inspection via Add Asset Wizard,بند واجهة
Insights,رؤى وتحليلات
Inspect,بند واجهة
Inspection,بند واجهة
inspection,بند واجهة
Inspection Compliance Report,تقرير بند واجهة
Inspection Date,بند واجهة
Inspection Due,بند واجهة
Inspection Failure,بند واجهة
Inspection Frequency (Days),بند واجهة
Inspection Pending,بند واجهة
Inspection Weight,بند واجهة
Inspection-Triggered,بند واجهة
Inspections,بند واجهة
Inspector,بند واجهة
Inspector sign-off,بند واجهة
Insurance Claim,بند واجهة
Insurance Company,تأمين الشركة
Insurance Coverage Type,بند واجهة
Insurance Incident,بند واجهة
Insurance Policy,تأمين سياسة
Insurance Renewal,بند واجهة
Integration,تكامل
Internal Code,بند واجهة
Internal Code must match the Asset ID.,يجب أن بند واجهة ID — بند واجهة.
Invalid company.,بند واجهة
Invalid gateway credentials.,بند واجهة
Invalid IoT gateway API key,IoT API — بند واجهة
Invalid step payload JSON.,JSON — بند واجهة
Invalid wizard step.,بند واجهة
Inventory & development context,المخزون وسياق التطوير
Inventory KPI Dashboard,لوحة مؤشرات المخزون
Inventory KPIs,مؤشرات المخزون
Inventory Low Stock Items,أصناف منخفضة المخزون
Inventory Reorder Needed,أصناف تحتاج إعادة طلب
Inventory Scan Count,بند واجهة
Inventory Stock Items,أصناف المخزون
IP Address,IP العنوان
Is Active,Is نشط
Is Group,بند واجهة
Issue,بند واجهة
Issued,بند واجهة
Issued Quantity,بند واجهة
Item,الصنف
Items,بند واجهة
Journal Entry,قيد يومية
Jump to the **Analytics Dashboard** page.,انتقل إلى صفحة **لوحة التحليلات**.
Jump to the **Asset Scan PWA** page.,انتقل إلى صفحة **PWA — بند واجهة**.
Jump to the **Executive Dashboard** page.,انتقل إلى صفحة **لوحة المدير التنفيذية**.
Jump to the **Fixed Assets Workcenter** page.,انتقل إلى صفحة **بند واجهة**.
Jump to the **Operations Desk** page.,انتقل إلى صفحة **بند واجهة**.
Kitchen,بند واجهة
Kitchen Linen,بند واجهة
Land & project charter,الأرض وميثاق المشروع
Land Parcel,قطعة أرض
Language,اللغة
Last depreciation posting,بند واجهة
Last Inspection,بند واجهة
Last Inventory Scan,بند واجهة
Last Laundry Cycle,بند واجهة
Last Location,بند واجهة
Last Month,الشهر الماضي
Last Reader,بند واجهة
Last run,بند واجهة
Last run at,بند واجهة
Last run message,بند واجهة
Last run status,بند واجهة
Last Scan,بند واجهة
Last Seen,بند واجهة
Last Seen Assets,بند واجهة
Last Seen At,بند واجهة
Last Seen Time,بند واجهة
Last target posting date,بند واجهة
Last Update,بند واجهة
Last Week,الأسبوع الماضي
Laundry,بند واجهة
Laundry cycle #{0},بند واجهة
Laundry Vendor,بند واجهة
Lead acquisition & qualification,اكتساب العملاء وتأهيلهم
Leaf categories should define all three; used when creating assets unless overridden on the asset.,بند واجهة
Leaf category requires {0}.,يتطلب بند واجهة {0}.
Leasing & occupancy (IFRS 16 / IPSAS rent),التأجير والإشغال (IFRS 16 / IPSAS)
Leasing Finance,التمويل التأجيري
Leasing Mandate,تفويض تأجير
Left,بند واجهة
Lifecycle,بند واجهة
Lifecycle Cost,بند واجهة
Lifecycle Cost Intelligence,بند واجهة
Lifecycle Stage,بند واجهة
Linen Dashboard,لوحة بند واجهة
Linen Issue Batch,بند واجهة
Linen Item,بند واجهة
Linen item not found for RFID tag.,RFID — بند واجهة
Linen Laundry Cycle,بند واجهة
Linen Movement,بند واجهة
Linen Name,بند واجهة
Linen Shortage Alert,بند واجهة
"LINEN SHORTAGE: {0} {1} missing (issued {2}, returned {3}).",بند واجهة
Linen Type,بند واجهة
Linen {0} has {1} wash cycles remaining.,بند واجهة
Linen {0}: {1} wash cycles remaining — plan replacement.,بند واجهة — بند واجهة
Linked ERPGenEx Maintenance Core work order (set by bridge; no cross-app Link).,بند واجهة
List,قائمة
Live Asset Tracking,بند واجهة
Load,بند واجهة
Lobby,بند واجهة
Local,محلي
Location,الموقع
Location correction wizard,بند واجهة
Location Name,الموقع الاسم
Location Path,بند واجهة
Location Type,الموقع النوع
location_correction,بند واجهة
Login,تسجيل الدخول
Login required,تسجيل الدخول مطلوب
Logout,تسجيل الخروج
Loss Investigation,بند واجهة
Low,منخفض
Maintenance,صيانة
maintenance,صيانة
Maintenance Burden,بند واجهة
Maintenance Cost to Date,صيانة التكلفة إلى التاريخ
Maintenance Events,بند واجهة
Maintenance Strategy,بند واجهة
Maintenance Type,صيانة النوع
Maintenance Weight,بند واجهة
Maintenance — service requests,الصيانة — طلبات الخدمة
maintenance_return,صيانة ارجع
maintenance_send,بند واجهة
Major Issue,بند واجهة
Management Agreement,اتفاقية إدارة
Mandatory,بند واجهة
Manual Action,يدوي إجراء
Manufacturing,التصنيع
Mattress Protector,بند واجهة
Max assets per run,بند واجهة
Max assets per run must be at least 1.,يجب أن بند واجهة بند واجهة.
Maximum Value,بند واجهة
Measurement model,بند واجهة
"Media Files (Images, Videos, Documents)",بند واجهة
Media Type,بند واجهة
Medium,متوسط
Menu,القائمة
Message,رسالة
Meter Type,بند واجهة
meter_type is required,بند واجهة
Method Name,بند واجهة
Method Type,بند واجهة
Minimum Value,بند واجهة
Minor Issue,بند واجهة
Mismatch,بند واجهة
Missing,مفقود
Missing Asset,بند واجهة
Missing Assets,بند واجهة
Missing Linen,بند واجهة
Missing Quantity,مفقود الكمية
Missing Scan,بند واجهة
Mixed Use,بند واجهة
Mobile,الجوال
Moderate,متوسط
Monitor,بند واجهة
Monitoring,بند واجهة
Monitoring Enabled,بند واجهة
Month End,بند واجهة
Month Start,بند واجهة
Mortgage Finance,التمويل العقاري
Movement Time,بند واجهة
Movement Type,بند واجهة
MTBF (h),بند واجهة
MTBF (hours),بند واجهة
MTTR (h),بند واجهة
MTTR (hours),بند واجهة
My work,عملي
Name,الاسم
NBV,بند واجهة
Net Book Value,بند واجهة
Network Path,بند واجهة
New,جديد
New End Date,جديد النهاية التاريخ
NFC identifier,NFC — بند واجهة
NFC tag UID or NDEF payload reference (mobile readiness).,NFC — بند واجهة
No asset or linen found for RFID tag.,RFID — بند واجهة
No branch found for company {0}.,بند واجهة
No Data,بند واجهة
No leaf Fixed Asset Category with GL accounts found for company {0}.,GL — بند واجهة
No suitable leaf GL account for acquisition credit (exclude asset accounts) for company {0}.,GL — بند واجهة
None,لا شيء
Normal,بند واجهة
Not permitted.,بند واجهة
Not Scanned,بند واجهة
Notes,ملاحظات
Notifications,الإشعارات
Number Card,بطاقة رقمية
Number of Floors,بند واجهة
Numeric,بند واجهة
Occupancy,الإشغال
Occupied,مشغول
Office,بند واجهة
Offline,بند واجهة
Offline event already synced.,بند واجهة
Old Parent,بند واجهة
Omnexa Accounting Settings,إعدادات محاسبة Omnexa
Omnexa Marketplace Settings,إعدادات سوق Omnexa
Omnexa Purchase Settings,إعدادات مشتريات Omnexa
Omnexa Sales Settings,إعدادات مبيعات Omnexa
Omnexa Settings,إعدادات Omnexa
Omnexa Stock Settings,إعدادات مخزون Omnexa
Online,بند واجهة
Only capitalized assets can be derecognized.,بند واجهة
Only System Manager can run this action.,بند واجهة
Open,مفتوح
open,فتح
Open Analytics Dashboard,لوحة فتح التحليلات
Open asset alerts,بند واجهة
Open Asset Scan PWA,PWA — بند واجهة
Open Executive Dashboard,لوحة بند واجهة
Open Fixed Assets Workcenter,بند واجهة
Open Operations Desk,بند واجهة
